"","SettlementPoint","month(Date)","year(Date)","AveragePrice"
"352","LZ_CPS",4,2019,25.3635972222222
"353","LZ_CPS",5,2016,18.4798655913979
"354","LZ_CPS",5,2017,26.5370295698925
"355","LZ_CPS",5,2018,36.0555913978495
"356","LZ_CPS",5,2019,26.2460752688172
"357","LZ_CPS",6,2016,24.9580694444444
"358","LZ_CPS",6,2017,30.416
"359","LZ_CPS",6,2018,30.7272777777778
"360","LZ_CPS",6,2019,26.3912916666667
"361","LZ_CPS",7,2016,27.9679569892473
"362","LZ_CPS",7,2017,32.1152956989247
"363","LZ_CPS",7,2018,79.124435483871
"364","LZ_CPS",7,2019,30.6671774193548
"365","LZ_CPS",8,2016,31.3065725806452
"366","LZ_CPS",8,2017,28.1375672043011
"367","LZ_CPS",8,2018,31.865685483871
"368","LZ_CPS",8,2019,127.696209677419
"369","LZ_CPS",9,2016,28.13025
"370","LZ_CPS",9,2017,25.1366527777778
"371","LZ_CPS",9,2018,27.5129861111111
"372","LZ_CPS",9,2019,82.4363472222222
"373","LZ_CPS",10,2016,26.2502956989247
"374","LZ_CPS",10,2017,25.2759543010753
"375","LZ_CPS",10,2018,31.6359677419355
"376","LZ_CPS",10,2019,33.5536021505376
"377","LZ_CPS",11,2016,21.7146666666667
"378","LZ_CPS",11,2017,23.5725694444444
"379","LZ_CPS",11,2018,32.0412083333333
"380","LZ_CPS",11,2019,25.5751388888889
"381","LZ_CPS",12,2016,26.5964247311828
"382","LZ_CPS",12,2017,22.048373655914
"383","LZ_CPS",12,2018,30.3092204301075
"384","LZ_CPS",12,2019,19.9978629032258
"385","LZ_HOUSTON",1,2016,19.563938172043
"386","LZ_HOUSTON",1,2017,24.8273655913979
"387","LZ_HOUSTON",1,2018,38.0449865591398
"388","LZ_HOUSTON",1,2019,25.5500806451613
"389","LZ_HOUSTON",2,2016,15.4879885057471
"390","LZ_HOUSTON",2,2017,23.5172172619048
"391","LZ_HOUSTON",2,2018,22.3758482142857
"392","LZ_HOUSTON",2,2019,21.644255952381
